product category,Age Groups,channel selection,advertising,Key Message,day,Time
Electronics,Young Customers 18-34 years,Facebook,facebook feed content type as articles,Discount/Sale,weekdays (mon - fri),3PM - 9PM
Fashion,Middle-Aged Customers 35-54 years,Instagram,facebook feed content type as video,New Arrival,weekends (sat-sun),11AM - 8PM
Home and Living,Older Customers 55 years and above,X,facebook feed content type as image galleries,Limited Time Offer,all day,6AM - 9AM
Health and Beauty,,Google,facebook marketplace content type as video,Benefits/Features Highlight,Seasonal,10AM-4PM
Food and Beverage,,Influencer partnerships,facebook marketplace content type as image galleries,,,9AM-3PM
Automotive,,,facebook video feed content type video,,,all time
"Books, Music, and Entertainment",,,facebook video feed content type live video,,,5PM - 8PM
Sports and Outdoors,,,Facebook right column content type as articles,,,
Toys and Games,,,Facebook right column content type as image,,,
Pet Supplies,,,Facebook Messenger sponsored messages content type as text with image,,,
Industrial and Business Supplies,,,Facebook Stories content type video,,,
Travel and Experiences,,,Facebook Stories content type image,,,
Software and Services,,,Facebook Reels content type video,,,
Miscellaneous,,,Facebook search results content type as page,,,
,,,Instagram feed content type as image,,,
,,,Instagram feed content type as video,,,
,,,Instagram profile feed content type as Instagram profile,,,
,,,Instagram Explore content type as Instagram profile,,,
,,,Instagram Stories content type as image,,,
,,,Instagram Stories content type as video,,,
,,,Instagram Reels content type as video,,,
,,,X Promoted Ads content type as image,,,
,,,X Promoted Ads content type as video,,,
,,,X Promoted Ads content type as Carousel ads,,,
,,,X Promoted Ads content type as text,,,
,,,X Amplify content type as video,,,
,,,X Takeover content type as video,,,
,,,X Live content type as video,,,
,,,X Dynamic Product Ads content type as image and text,,,
,,,X Collection Ads content type as image,,,
,,,X Ad Features content type as Polls,,,
,,,X Ad Features content type as buttons to install app,,,
,,,X Ad Features content type as Website Buttons,,,
,,,X Ad Features content type as Branded Hashtags,,,
,,,X Ad Features content type as Branded Notifications,,,
,,,google top Banner content type as image,,,
,,,google top Banner content type as text,,,
,,,google top Banner content type as video,,,
,,,google side banner content type as image,,,
,,,google side banner content type as text,,,
,,,google side banner content type as video,,,
,,,google video pre-roll content type as video,,,
,,,google interstitial content type as image,,,
,,,google interstitial content type as text,,,
,,,google interstitial content type as video,,,
,,,Google Search content type as website,,,
,,,Google Search content type as image,,,
,,,Youtube banners on youtube content type as image,,,
,,,Youtube video ads on youtube content type as video,,,
,,,Influencer social media conten type as article Sponsored,,,
,,,Influencer social media conten type as video Sponsored,,,
,,,Influencer social media conten type as image Sponsored,,,
,,,Influencer social media conten type as live video Sponsored,,,
,,,Influencer social media conten type as video unboxing videos,,,
,,,Influencer social media conten type as image unboxing videos,,,
,,,Influencer social media conten type as live video unboxing videos,,,
,,,Influencer social media conten type as article product reviews,,,
,,,Influencer social media conten type as video product reviews,,,
,,,Influencer social media conten type as image product reviews,,,
,,,Influencer social media conten type as live video product reviews,,,
